11111	工期
11112	工艺
11113	工厂
11114	工地
11115	工夫
11116	戒毒
11121	工具
11122	工业
11123	工农
11124	工钱
11125	戒指
11126	工程
11131	工商
11132	工资
11133	工会
11134	工作
11135	工人
11136	工序
11141	节能
11142	节奏
11143	节目
11144	节水
11145	节省
11146	节日
11151	蒸发
11152	节制
11153	节约
11154	苦苦
11155	葫芦
11156	期限
11161	苦难
11162	欺骗
11163	基础
11164	基石
11165	基地
11166	若干
11211	期刊
11212	甚至
11213	基于
11214	项目
11215	期盼
11216	期满
11221	若是
11222	其中
11223	基因
11224	基层
11225	苦恼
11226	其实
11231	勘察
11232	欺负
11233	基金
11234	其后
11235	勘探
11236	基本
11241	勘查
11242	期待
11243	苦笑
11244	期间
11245	苦闷
11246	其次
11251	基建
11252	其他
11253	其余
11254	其人
11255	期货
11256	期望
11261	藏族
11262	散布
11263	散步
11264	散发
11265	散打
11266	散文
11311	某某
11312	鞋子
11313	某些
11314	甘心
11315	鞭炮
11316	著名
11321	鞠躬
11322	革新
11323	甘肃
11324	革命
11325	某个
11326	著作
11331	七月
11332	七一
11333	苹果
11334	戈壁
11335	巧妙
11336	邪教
11341	邪恶
11342	牙齿
11343	卧室
11344	鸦片
11345	茫茫
11346	落幕
11351	东欧
11352	落成
11353	落地
11354	东南
11355	东亚
11356	东海
11361	荡漾
11362	东盟
11363	落叶
11364	范畴
11365	范围
11366	东边
11411	东风
11412	落实
11413	茫然
11414	落后
11415	东西
11416	东部
11421	东北
11422	薄弱
11423	东京
11424	落户
11425	东方
11426	萌芽
11431	莫非
11432	草原
11433	草地
11434	草坪
11435	草场
11436	蓝天
11441	昔日
11442	蓝图
11443	草案
11444	蓝色
11445	蔓延
11446	划分
11451	募集
11452	勤劳
11453	勤奋
11454	或者
11455	或是
11456	匮乏
11461	或许
11462	功臣
11463	功劳
11464	莲花
11465	苏联
11466	功能
11511	功夫
11512	萝卜
11513	功勋
11514	荔枝
11515	苗木
11516	功课
11521	功率
11522	英勇
11523	英雄
11524	恐龙
11525	黄土
11526	贡献
11531	黄河
11532	巩固
11533	英国
11534	恐慌
11535	恐怖
11536	恐惧
11541	恐怕
11542	黄昏
11543	黄色
11544	黄金
11545	黄瓜
11546	英语
11551	英文
11552	蔬菜
11553	巨大
11554	巨型
11555	世上
11556	世界
11561	巨额
11562	艺术
11563	芯片
11564	世间
11565	巨资
11566	世代
11611	世人
11612	世纪
11613	巨变
11614	劳工
11615	荣获
11616	蒙古
11621	劳动
11622	营救
11623	荣誉
11624	劳力
11625	劳累
11626	荧屏
11631	营业
11632	营销
11633	劳模
11634	营长
11635	营造
11636	劳务
11641	营养
11642	警戒
11643	葡萄
11644	菊花
11645	获取
11646	获胜
11651	区域
11652	警示
11653	欧元
11654	欧洲
11655	欧盟
11656	区别
11661	警力
11662	警惕
11663	敬业
11664	警察
11665	警报
11666	警告
12111	获得
12112	警务
12113	获悉
12114	欧美
12115	敬意
12116	获奖
12121	敬佩
12122	区位
12123	区分
12124	警方
12125	医药
12126	医院
12131	攻克
