11111	阿爸
11112	阿富汗
11113	哀愁
11114	爱戴
11115	哀悼
11116	挨饿
11121	爱抚
11122	爱国
11123	爱好
11124	爱护
11125	挨近
11126	爱恋
11131	暧昧
11132	爱慕
11133	爱情
11134	哀求
11135	爱人
11136	碍事
11141	哀思
11142	哀叹
11143	矮小
11144	爱心
11145	哎哟
11146	哀怨
11151	哀乐
11152	爱憎
11153	矮子
11154	阿妈
11155	暗暗
11156	暗藏
11161	黯淡
11162	暗地里
11163	安定
11164	安顿
11165	暗访
11166	安分
11211	安抚
11212	昂贵
11213	盎然
11214	暗号
11215	安徽
11216	案件
11221	按揭
11222	安静
11223	案卷
11224	安康
11225	按摩
11226	按捺
11231	安宁
11232	按钮
11233	安排
11234	安培
11235	案情
11236	安全
11241	安然
11242	安身
11243	按时
11244	按说
11245	暗算
11246	案头
11251	安慰
11252	安稳
11253	安闲
11254	暗笑
11255	安心
11256	安于
11261	安葬
11262	按照
11263	安置
11264	案子
11265	懊悔
11266	傲慢
11311	澳门
11312	奥妙
11313	懊恼
11314	傲气
11315	傲然
11316	懊丧
11321	凹陷
11322	熬夜
11323	遨游
11324	鏖战
11325	澳洲
11326	阿Ｑ
11331	啊呀
11332	阿姨
11333	啊哟
11334	爸爸
11335	把柄
11336	巴不得
11341	把持
11342	霸道
11343	把儿
11344	八方
11345	拔高
11346	八哥
11351	罢工
11352	把关
11353	疤痕
11354	跋扈
11355	白白
11356	百般
11361	百倍
11362	摆布
11363	白菜
11364	白吃
11365	白费
11366	百分
11411	百合
11412	白话
11413	拜会
11414	百货
11415	白金
11416	白酒
11421	败类
11422	白沫
11423	白嫩
11424	白旗
11425	白人
11426	百日
11431	白色
11432	摆设
11433	拜师
11434	柏树
11435	败诉
11436	败退
11441	摆脱
11442	百万
11443	拜谢
11444	白眼
11445	拜谒
11446	白银
11451	柏油
11452	白云
11453	白纸
11454	白族
11455	拔尖
11456	八角
11461	巴结
11462	把酒
11463	芭蕾
11464	罢了
11465	八路
11466	把门
11511	罢免
11512	办案
11513	斑白
11514	斑斑
11515	办报
11516	版本
11521	板壁
11522	斑驳
11523	颁布
11524	板材
11525	班车
11526	版次
11531	半岛
11532	办法
11533	帮扶
11534	梆子
11535	版画
11536	搬家
11541	半截
11542	斑斓
11543	办理
11544	伴侣
11545	半球
11546	办事
11551	半数
11552	半死
11553	伴随
11554	版图
11555	办学
11556	扮演
11561	半夜
11562	伴有
11563	搬运
11564	半载
11565	班子
11566	伴奏
11611	保安
11612	包办
11613	宝宝
11614	宝贝
11615	包庇
11616	保持
11621	保存
11622	保单
11623	报道
11624	暴跌
11625	报恩
11626	报废
11631	报复
11632	报告
11633	宝贵
11634	包裹
11635	包含
11636	报价
11641	保洁
11642	报刊
11643	报考
11644	包括
11645	包揽
11646	堡垒
11651	爆裂
11652	保留
11653	饱满
11654	保密
11655	保姆
11656	报批
11661	爆破
11662	报社
11663	宝石
11664	保卫
11665	保温
11666	宝物
12111	报信
12112	保修
12113	报业
12114	保佑
12115	报载
12116	暴躁
12121	爆炸
12122	报纸
12123	爆竹
12124	包子
12125	宝座
12126	八旗
12131	霸权
12132	把式
12133	把守
12134	吧台
12135	把头
12136	拔腿
12141	霸王
12142	把握
12143	八仙
